page_num,course
SOM 7,BS COMTECH
SOM 8,BS COMTECH
SOM 9,BS COMTECH
SOM 10,BS COMTECH
SOM 11,BS COMTECH
SOM 12,BS COMTECH
SOM 13,BS COMTECH
SOM 14,BS COMTECH
SOM 15,BS COMTECH
SOM 16,BS COMTECH
SOM 17,BS COMTECH
SOM 73,BS ITE
SOM 74,BS ITE
SOM 86,BS LM
SOM 87,BS LM
SOM 88,BS LM
SOM 89,BS LM
SOM 90,BS LM
SOM 91,BS LM
SOM 92,BS LM
SOM 93,BS LM
SOM 94,BS LM
SOM 95,BS LM
SOM 96,BS LM
SOM 97,BS LM
SOM 158,BS MAC
SOM 159,BS MAC
SOM 160,BS MAC
SOM 175,BS ME
SOM 176,BS ME
SOM 177,BS ME
SOM 178,BS ME
SOM 179,BS ME
SOM 180,BS ME
SOM 181,BS ME
SOM 182,BS ME
SOM 183,BS ME
SOM 184,BS ME
SOM 185,BS ME
SOM 186,BS ME
SOM 187,BS ME
SOM 188,BS ME
SOM 189,BS ME
SOM 190,BS ME
SOM 269,BS MGT
SOM 270,BS MGT
SOM 271,BS MGT
SOM 272,BS MGT
SOM 273,BS MGT
SOM 274,BS MGT
SOM 275,BS MGT
SOM 276,BS MGT
SOM 277,BS MGT
SOM 278,BS MGT
SOM 279,BS MGT
SOM 280,BS MGT
SOM 281,BS MGT
SOM 282,BS MGT
SOM 283,BS MGT
SOM 284,BS MGT
SOM 285,BS MGT
SOM 286,BS MGT
SOM 287,BS MGT
SOM 288,BS MGT
SOM 289,BS MGT
SOM 290,BS MGT
SOM 291,BS MGT
SOM 292,BS MGT
SOM 293,BS MGT
SOM 294,BS MGT
SOM 295,BS MGT
SOM 432,BS MGT-H
SOH 7,AB HUM
SOH 12,AB IS
SOH 13,AB IS
SOH 14,AB IS
SOH 15,AB IS
SOH 16,AB IS
SOH 17,AB IS
SOH 18,AB IS
SOH 19,AB IS
SOH 20,AB IS
SOH 21,AB IS
SOH 22,AB IS
SOH 79,AB LIT(ENG)
SOH 80,AB LIT(ENG)
SOH 81,AB LIT(ENG)
SOH 94,AB PH
SOH 95,AB PH
SOH 96,AB PH
SOH 109,BFA AM
SOH 116,BFA CW
SOH 117,BFA CW
SOH 118,BFA CW
SOH 135,BFA ID
SOH 136,BFA ID
SOH 137,BFA ID
SOH 138,BFA ID
SOH 139,BFA ID
SOH 140,BFA ID
SOH 141,BFA ID
SOH 142,BFA ID
SOH 181,BFA TA
