page_num,student_id
SOM 18,140172
SOM 18,140267
SOM 19,140275
SOM 19,140320
SOM 20,144879
SOM 20,140352
SOM 21,144643
SOM 21,130433
SOM 22,140464
SOM 22,145037
SOM 23,145197
SOM 23,144884
SOM 24,140537
SOM 24,145041
SOM 25,140690
SOM 25,134831
SOM 26,140702
SOM 26,140711
SOM 27,144648
SOM 27,140758
SOM 28,145049
SOM 28,140846
SOM 29,140895
SOM 29,130955
SOM 30,145054
SOM 30,131020
SOM 31,141008
SOM 31,141020
SOM 32,144895
SOM 32,141124
SOM 33,134845
SOM 33,145067
SOM 34,144775
SOM 34,141241
SOM 35,141469
SOM 35,145072
SOM 36,141501
SOM 36,141551
SOM 37,145078
SOM 37,141671
SOM 38,131730
SOM 38,141803
SOM 39,141857
SOM 39,144919
SOM 40,142006
SOM 40,144791
SOM 41,142048
SOM 41,142085
SOM 42,145109
SOM 42,142171
SOM 43,144798
SOM 43,142234
SOM 44,144675
SOM 44,144927
SOM 45,142395
SOM 45,142499
SOM 46,142533
SOM 46,142712
SOM 47,142733
SOM 47,142798
SOM 48,142867
SOM 48,144841
SOM 49,142925
SOM 49,133029
SOM 50,145131
SOM 50,133081
SOM 51,143027
SOM 51,143050
SOM 52,143118
SOM 52,143131
SOM 53,144704
SOM 53,133369
SOM 54,144815
SOM 54,143354
SOM 55,143367
SOM 55,143429
SOM 56,144958
SOM 56,143500
SOM 57,144819
SOM 57,143605
SOM 58,143637
SOM 58,143672
SOM 59,143696
SOM 59,143736
SOM 60,143759
SOM 60,143787
SOM 61,143881
SOM 61,143911
SOM 62,143929
SOM 62,145243
SOM 63,143982
SOM 63,144736
SOM 64,144015
SOM 64,144024
SOM 65,144738
SOM 65,144049
SOM 66,145171
SOM 66,144106
SOM 67,144140
SOM 67,144148
SOM 68,145177
SOM 68,144615
SOM 69,144742
SOM 69,144344
SOM 70,144372
SOM 70,144396
SOM 71,144411
SOM 71,144432
SOM 75,130134
SOM 75,144758
SOM 76,131425
SOM 76,141742
SOM 77,131824
SOM 77,144628
SOM 78,142325
SOM 78,142643
SOM 79,132964
SOM 79,134906
SOM 80,143183
SOM 80,113196
SOM 81,145144
SOM 81,143623
SOM 82,133878
SOM 82,133933
SOM 83,144606
SOM 83,123849
SOM 84,144003
SOM 84,134508
SOM 98,140026
SOM 98,140074
SOM 99,140173
SOM 99,144638
SOM 100,140240
SOM 100,140274
SOM 101,140309
SOM 101,130308
SOM 102,140388
SOM 102,140451
SOM 103,140473
SOM 103,140542
SOM 104,140566
SOM 104,140622
SOM 105,140706
SOM 105,140726
SOM 106,140810
SOM 106,140876
SOM 107,144892
SOM 107,144653
SOM 108,141045
SOM 108,141069
SOM 109,144654
SOM 109,145063
SOM 110,141089
SOM 110,144773
SOM 111,141153
SOM 111,141160
SOM 112,131176
SOM 112,141226
SOM 113,141227
SOM 113,141238
SOM 114,124600
SOM 114,141272
SOM 115,141285
SOM 115,141331
SOM 116,144905
SOM 116,145068
SOM 117,141537
SOM 117,141634
SOM 118,141644
SOM 118,145090
SOM 119,141773
SOM 119,141781
SOM 120,141816
SOM 120,145096
SOM 121,145097
SOM 121,141881
SOM 122,132054
SOM 122,134875
SOM 123,132166
SOM 123,132182
SOM 124,142204
SOM 124,142210
SOM 125,132247
SOM 125,142246
SOM 126,142270
SOM 126,142309
SOM 127,142338
SOM 127,144679
SOM 128,144680
SOM 128,142421
SOM 129,142500
SOM 129,142511
SOM 130,142557
SOM 130,144688
SOM 131,142607
SOM 131,144690
SOM 132,144859
SOM 132,144937
SOM 133,132759
SOM 133,142784
SOM 134,142797
SOM 134,144945
SOM 135,144696
SOM 135,142963
SOM 136,143024
SOM 136,144949
SOM 137,143103
SOM 137,144705
SOM 138,143236
SOM 138,144594
SOM 139,144814
SOM 139,143305
SOM 140,145142
SOM 140,143329
SOM 141,133438
SOM 141,144715
SOM 142,143404
SOM 142,143462
SOM 143,145236
SOM 143,145149
SOM 144,145152
SOM 144,143619
SOM 145,143648
SOM 145,143827
SOM 146,144824
SOM 146,143854
SOM 147,143906
SOM 147,143944
SOM 148,143981
SOM 148,144005
SOM 149,144086
SOM 149,144134
SOM 150,144159
SOM 150,144194
SOM 151,145176
SOM 151,144244
SOM 152,144259
SOM 152,144267
SOM 153,144284
SOM 153,144346
SOM 154,144617
SOM 154,144386
SOM 155,144429
SOM 155,144463
SOM 156,144469
SOM 156,145250
SOM 161,140203
SOM 161,140424
SOM 162,140488
SOM 162,140522
SOM 163,140795
SOM 163,140902
SOM 164,141125
SOM 164,141433
SOM 165,141856
SOM 165,144557
SOM 166,142022
SOM 166,142275
SOM 167,145117
SOM 167,142760
SOM 168,133224
SOM 168,133243
SOM 169,144710
SOM 169,143351
SOM 170,143358
SOM 170,133462
SOM 171,133593
SOM 171,143621
SOM 172,123650
SOM 172,134949
SOM 173,144467
SOM 191,140010
SOM 191,140013
SOM 192,140022
SOM 192,140023
SOM 193,140054
SOM 193,140097
SOM 194,140122
SOM 194,140183
SOM 195,140188
SOM 195,140208
SOM 196,140213
SOM 196,140237
SOM 197,140248
SOM 197,140434
SOM 198,140448
SOM 198,140546
SOM 199,140550
SOM 199,140553
SOM 200,140599
SOM 200,140615
SOM 201,140630
SOM 201,140639
SOM 202,140836
SOM 202,140840
SOM 203,140841
SOM 203,140842
SOM 204,140845
SOM 204,140860
SOM 205,140891
SOM 205,140939
SOM 206,140901
SOM 206,140904
SOM 207,140919
SOM 207,140933
SOM 208,140944
SOM 208,140972
SOM 209,141033
SOM 209,141090
SOM 210,141091
SOM 210,131231
SOM 211,141245
SOM 211,141284
SOM 212,141297
SOM 212,141353
SOM 213,141356
SOM 213,141371
SOM 214,141374
SOM 214,141383
SOM 215,141462
SOM 215,141492
SOM 216,141550
SOM 216,141592
SOM 217,141631
SOM 217,141641
SOM 218,141647
SOM 218,141699
SOM 219,141704
SOM 219,141711
SOM 220,141713
SOM 220,141793
SOM 221,141867
SOM 221,141877
SOM 222,141901
SOM 222,141923
SOM 223,141946
SOM 223,141952
SOM 224,141969
SOM 224,141986
SOM 225,142024
SOM 225,142027
SOM 226,142080
SOM 226,145219
SOM 227,142103
SOM 227,142109
SOM 228,142124
SOM 228,142162
SOM 229,142179
SOM 229,142208
SOM 230,142219
SOM 230,142250
SOM 231,142281
SOM 231,142282
SOM 232,142298
SOM 232,142376
SOM 233,142456
SOM 233,142463
SOM 234,142515
SOM 234,142528
SOM 235,142536
SOM 235,142545
SOM 236,142560
SOM 236,142586
SOM 237,142606
SOM 237,142625
SOM 238,142718
SOM 238,142751
SOM 239,142757
SOM 239,142774
SOM 240,142796
SOM 240,142825
SOM 241,132886
SOM 241,142887
SOM 242,142926
SOM 242,143022
SOM 243,143063
SOM 243,143106
SOM 244,143134
SOM 244,143158
SOM 245,143180
SOM 245,143192
SOM 246,143208
SOM 246,143258
SOM 247,143314
SOM 247,143443
SOM 248,143445
SOM 248,143496
SOM 249,143527
SOM 249,143550
SOM 250,143557
SOM 250,143587
SOM 251,143597
SOM 251,143618
SOM 252,143636
SOM 252,143656
SOM 253,143671
SOM 253,143730
SOM 254,143734
SOM 254,143740
SOM 255,143785
SOM 255,143818
SOM 256,134718
SOM 256,143852
SOM 257,143865
SOM 257,143942
SOM 258,143969
SOM 258,143984
SOM 259,143987
SOM 259,143992
SOM 260,144006
SOM 260,144034
SOM 261,144064
SOM 261,144149
SOM 262,144181
SOM 262,144197
SOM 263,144200
SOM 263,144237
SOM 264,144363
SOM 264,144373
SOM 265,144381
SOM 265,144413
SOM 266,144435
SOM 266,144443
SOM 267,144462
SOM 296,145188
SOM 296,124427
SOM 297,140051
SOM 297,140052
SOM 298,140082
SOM 298,140105
SOM 299,140109
SOM 299,140132
SOM 300,140138
SOM 300,144513
SOM 301,140216
SOM 301,140204
SOM 302,140209
SOM 302,144872
SOM 303,145027
SOM 303,140221
SOM 304,144874
SOM 304,140294
SOM 305,140332
SOM 305,140338
SOM 306,140364
SOM 306,140402
SOM 307,140420
SOM 307,140443
SOM 308,140452
SOM 308,144526
SOM 309,140499
SOM 309,140505
SOM 310,140559
SOM 310,140571
SOM 311,140598
SOM 311,144765
SOM 312,140643
SOM 312,140705
SOM 313,140745
SOM 313,134962
SOM 314,140751
SOM 314,140759
SOM 315,144649
SOM 315,140766
SOM 316,145047
SOM 316,140788
SOM 317,140798
SOM 317,144536
SOM 318,140830
SOM 318,140832
SOM 319,140855
SOM 319,140858
SOM 320,140862
SOM 320,144891
SOM 321,140885
SOM 321,140890
SOM 322,140894
SOM 322,140917
SOM 323,140929
SOM 323,140930
SOM 324,130973
SOM 324,140938
SOM 325,140947
SOM 325,140948
SOM 326,140957
SOM 326,140964
SOM 327,140970
SOM 327,140977
SOM 328,140984
SOM 328,140989
SOM 329,145059
SOM 329,145060
SOM 330,141068
SOM 330,131169
SOM 331,141158
SOM 331,141210
SOM 332,141212
SOM 332,141223
SOM 333,141270
SOM 333,141294
SOM 334,141399
SOM 334,141406
SOM 335,141413
SOM 335,141421
SOM 336,141422
SOM 336,144906
SOM 337,141459
SOM 337,141465
SOM 338,131540
SOM 338,144550
SOM 339,141228
SOM 339,141633
SOM 340,131694
SOM 340,141683
SOM 341,144630
SOM 341,145089
SOM 342,131746
SOM 342,141727
SOM 343,141728
SOM 343,145214
SOM 344,141755
SOM 344,141764
SOM 345,141775
SOM 345,141813
SOM 346,141833
SOM 346,141855
SOM 347,141875
SOM 347,141880
SOM 348,131952
SOM 348,141904
SOM 349,141906
SOM 349,141910
SOM 350,141916
SOM 350,141918
SOM 351,141934
SOM 351,141953
SOM 352,141956
SOM 352,141964
SOM 353,141993
SOM 353,142004
SOM 354,142040
SOM 354,142045
SOM 355,142081
SOM 355,142102
SOM 356,142110
SOM 356,142115
SOM 357,142116
SOM 357,142120
SOM 358,142129
SOM 358,142142
SOM 359,142160
SOM 359,142161
SOM 360,142165
SOM 360,142180
SOM 361,142186
SOM 361,142213
SOM 362,142221
SOM 362,142223
SOM 363,142227
SOM 363,142229
SOM 364,132262
SOM 364,112210
SOM 365,142271
SOM 365,142276
SOM 366,142297
SOM 366,132308
SOM 367,144926
SOM 367,142317
SOM 368,142319
SOM 368,142340
SOM 369,142351
SOM 369,142357
SOM 370,142364
SOM 370,132420
